id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
NE;NORDESTE;2025-01-04 06:00:00;12432.218
S;SUL;2025-01-04 06:00:00;11531.685
SE;SUDESTE;2025-01-04 06:00:00;38120.89799999
N;NORTE;2025-01-04 07:00:00;7069.48599999
NE;NORDESTE;2025-01-04 07:00:00;12254.433
S;SUL;2025-01-04 07:00:00;12099.317
SE;SUDESTE;2025-01-04 07:00:00;39762.542
N;NORTE;2025-01-04 08:00:00;6705.14699999
NE;NORDESTE;2025-01-04 08:00:00;12363.129
S;SUL;2025-01-04 08:00:00;12314.869
SE;SUDESTE;2025-01-04 08:00:00;41456.07199999
N;NORTE;2025-01-04 09:00:00;6851.86
NE;NORDESTE;2025-01-04 09:00:00;12550.95499999
S;SUL;2025-01-04 09:00:00;12637.322
SE;SUDESTE;2025-01-04 09:00:00;42521.105
N;NORTE;2025-01-04 10:00:00;6996.20199999
NE;NORDESTE;2025-01-04 10:00:00;12659.26199999
S;SUL;2025-01-04 10:00:00;13151.942
SE;SUDESTE;2025-01-04 10:00:00;43258.804
N;NORTE;2025-01-04 11:00:00;7170.19999999
NE;NORDESTE;2025-01-04 11:00:00;12642.74699999
S;SUL;2025-01-04 11:00:00;13593.017
SE;SUDESTE;2025-01-04 11:00:00;43404.95199999
N;NORTE;2025-01-04 12:00:00;7300.26999999
NE;NORDESTE;2025-01-04 12:00:00;12575.928
S;SUL;2025-01-04 12:00:00;13347.091
SE;SUDESTE;2025-01-04 12:00:00;43125.51299999
N;NORTE;2025-01-04 13:00:00;7452.819
NE;NORDESTE;2025-01-04 13:00:00;12569.139
S;SUL;2025-01-04 13:00:00;13123.694
SE;SUDESTE;2025-01-04 13:00:00;43806.25099999
N;NORTE;2025-01-04 14:00:00;7451.554
NE;NORDESTE;2025-01-04 14:00:00;12668.17999999
S;SUL;2025-01-04 14:00:00;12853.722
SE;SUDESTE;2025-01-04 14:00:00;44352.353
N;NORTE;2025-01-04 15:00:00;7439.92199999
NE;NORDESTE;2025-01-04 15:00:00;12880.12199999
S;SUL;2025-01-04 15:00:00;12553.05599999
SE;SUDESTE;2025-01-04 15:00:00;43981.713
N;NORTE;2025-01-04 16:00:00;7273.623
NE;NORDESTE;2025-01-04 16:00:00;13336.832
S;SUL;2025-01-04 16:00:00;12693.714
SE;SUDESTE;2025-01-04 16:00:00;43935.879
N;NORTE;2025-01-04 17:00:00;7106.77
NE;NORDESTE;2025-01-04 17:00:00;13869.783
S;SUL;2025-01-04 17:00:00;13374.225
SE;SUDESTE;2025-01-04 17:00:00;44584.326
N;NORTE;2025-01-04 18:00:00;7337.81599999
NE;NORDESTE;2025-01-04 18:00:00;14963.907
S;SUL;2025-01-04 18:00:00;14065.18599999
SE;SUDESTE;2025-01-04 18:00:00;46168.362
N;NORTE;2025-01-04 19:00:00;7552.811
NE;NORDESTE;2025-01-04 19:00:00;15205.306
S;SUL;2025-01-04 19:00:00;14685.579
SE;SUDESTE;2025-01-04 19:00:00;48752.35
N;NORTE;2025-01-04 20:00:00;7590.793
NE;NORDESTE;2025-01-04 20:00:00;15076.547
S;SUL;2025-01-04 20:00:00;15280.144
SE;SUDESTE;2025-01-04 20:00:00;48555.083
N;NORTE;2025-01-04 21:00:00;7727.827
NE;NORDESTE;2025-01-04 21:00:00;15071.55399999
S;SUL;2025-01-04 21:00:00;14667.02799999
SE;SUDESTE;2025-01-04 21:00:00;47030.358
N;NORTE;2025-01-04 22:00:00;7629.331
NE;NORDESTE;2025-01-04 22:00:00;14952.45999999
S;SUL;2025-01-04 22:00:00;14004.912
SE;SUDESTE;2025-01-04 22:00:00;45124.846
N;NORTE;2025-01-04 23:00:00;7656.95599999
NE;NORDESTE;2025-01-04 23:00:00;14854.751
S;SUL;2025-01-04 23:00:00;13219.583
SE;SUDESTE;2025-01-04 23:00:00;43309.202
N;NORTE;2025-01-05 00:00:00;7698.169
NE;NORDESTE;2025-01-05 00:00:00;14606.96399999
S;SUL;2025-01-05 00:00:00;12355.026
SE;SUDESTE;2025-01-05 00:00:00;41080.67099999
N;NORTE;2025-01-05 01:00:00;7596.458
NE;NORDESTE;2025-01-05 01:00:00;14217.83599999
S;SUL;2025-01-05 01:00:00;11653.526
SE;SUDESTE;2025-01-05 01:00:00;39122.939
N;NORTE;2025-01-05 02:00:00;7499.879
NE;NORDESTE;2025-01-05 02:00:00;13939.531
S;SUL;2025-01-05 02:00:00;11124.632
SE;SUDESTE;2025-01-05 02:00:00;37783.366
N;NORTE;2025-01-05 03:00:00;7358.789
NE;NORDESTE;2025-01-05 03:00:00;13650.646
S;SUL;2025-01-05 03:00:00;10783.47599999
SE;SUDESTE;2025-01-05 03:00:00;36889.574
N;NORTE;2025-01-05 04:00:00;7285.31
NE;NORDESTE;2025-01-05 04:00:00;13411.85899999
S;SUL;2025-01-05 04:00:00;10513.95
SE;SUDESTE;2025-01-05 04:00:00;36320.10299999
N;NORTE;2025-01-05 05:00:00;7180.82999999
NE;NORDESTE;2025-01-05 05:00:00;12687.86
S;SUL;2025-01-05 05:00:00;10233.09499999
SE;SUDESTE;2025-01-05 05:00:00;35387.91199999
N;NORTE;2025-01-05 06:00:00;6929.99599999
NE;NORDESTE;2025-01-05 06:00:00;12047.933
S;SUL;2025-01-05 06:00:00;10444.1
SE;SUDESTE;2025-01-05 06:00:00;34950.402
N;NORTE;2025-01-05 07:00:00;6731.767
NE;NORDESTE;2025-01-05 07:00:00;11650.887
S;SUL;2025-01-05 07:00:00;10834.107
SE;SUDESTE;2025-01-05 07:00:00;35032.652
N;NORTE;2025-01-05 08:00:00;6671.78499999
NE;NORDESTE;2025-01-05 08:00:00;11674.917
S;SUL;2025-01-05 08:00:00;10974.256
SE;SUDESTE;2025-01-05 08:00:00;35547.023
N;NORTE;2025-01-05 09:00:00;6689.529
NE;NORDESTE;2025-01-05 09:00:00;11410.25399999
S;SUL;2025-01-05 09:00:00;11215.045
SE;SUDESTE;2025-01-05 09:00:00;36299.78299999
N;NORTE;2025-01-05 10:00:00;6694.295
NE;NORDESTE;2025-01-05 10:00:00;11318.422
S;SUL;2025-01-05 10:00:00;11678.89999999
SE;SUDESTE;2025-01-05 10:00:00;37629.759
N;NORTE;2025-01-05 11:00:00;6628.911
NE;NORDESTE;2025-01-05 11:00:00;11332.956
S;SUL;2025-01-05 11:00:00;12149.34099999
SE;SUDESTE;2025-01-05 11:00:00;38872.276
N;NORTE;2025-01-05 12:00:00;6551.61299999
NE;NORDESTE;2025-01-05 12:00:00;11328.388
S;SUL;2025-01-05 12:00:00;11932.853
SE;SUDESTE;2025-01-05 12:00:00;39243.84399999
N;NORTE;2025-01-05 13:00:00;6792.623
NE;NORDESTE;2025-01-05 13:00:00;11328.88
S;SUL;2025-01-05 13:00:00;11690.795
SE;SUDESTE;2025-01-05 13:00:00;38601.012
N;NORTE;2025-01-05 14:00:00;6996.714
NE;NORDESTE;2025-01-05 14:00:00;11546.79299999
S;SUL;2025-01-05 14:00:00;11493.924
SE;SUDESTE;2025-01-05 14:00:00;37992.416
N;NORTE;2025-01-05 15:00:00;7031.942
NE;NORDESTE;2025-01-05 15:00:00;12006.443
S;SUL;2025-01-05 15:00:00;11391.154
SE;SUDESTE;2025-01-05 15:00:00;38492.47999999
N;NORTE;2025-01-05 16:00:00;6967.71399999
NE;NORDESTE;2025-01-05 16:00:00;12589.326
S;SUL;2025-01-05 16:00:00;11687.58
SE;SUDESTE;2025-01-05 16:00:00;39661.258
N;NORTE;2025-01-05 17:00:00;6880.717
NE;NORDESTE;2025-01-05 17:00:00;13241.084
S;SUL;2025-01-05 17:00:00;12416.01
SE;SUDESTE;2025-01-05 17:00:00;41506.371
N;NORTE;2025-01-05 18:00:00;7221.43499999
NE;NORDESTE;2025-01-05 18:00:00;14521.054
S;SUL;2025-01-05 18:00:00;13172.83199999
SE;SUDESTE;2025-01-05 18:00:00;43529.24399999
N;NORTE;2025-01-05 19:00:00;7577.89399999
NE;NORDESTE;2025-01-05 19:00:00;14696.408
S;SUL;2025-01-05 19:00:00;13968.54999999
SE;SUDESTE;2025-01-05 19:00:00;45985.931
N;NORTE;2025-01-05 20:00:00;7666.417
NE;NORDESTE;2025-01-05 20:00:00;14657.689
S;SUL;2025-01-05 20:00:00;14885.33299999
SE;SUDESTE;2025-01-05 20:00:00;46479.018
N;NORTE;2025-01-05 21:00:00;7633.146
NE;NORDESTE;2025-01-05 21:00:00;14942.106
S;SUL;2025-01-05 21:00:00;14571.104
SE;SUDESTE;2025-01-05 21:00:00;45882.70999999
N;NORTE;2025-01-05 22:00:00;7850.279
NE;NORDESTE;2025-01-05 22:00:00;15092.214
S;SUL;2025-01-05 22:00:00;14106.607
SE;SUDESTE;2025-01-05 22:00:00;44611.526
N;NORTE;2025-01-05 23:00:00;7914.056
NE;NORDESTE;2025-01-05 23:00:00;14901.597
S;SUL;2025-01-05 23:00:00;13327.35899999
SE;SUDESTE;2025-01-05 23:00:00;42704.92
N;NORTE;2025-01-06 00:00:00;7797.163
NE;NORDESTE;2025-01-06 00:00:00;14521.39599999
S;SUL;2025-01-06 00:00:00;12491.603
SE;SUDESTE;2025-01-06 00:00:00;40586.53299999
N;NORTE;2025-01-06 01:00:00;7721.669
NE;NORDESTE;2025-01-06 01:00:00;14220.322
S;SUL;2025-01-06 01:00:00;11894.371
SE;SUDESTE;2025-01-06 01:00:00;38806.001
N;NORTE;2025-01-06 02:00:00;7589.711
NE;NORDESTE;2025-01-06 02:00:00;13890.92099999
S;SUL;2025-01-06 02:00:00;11447.614
SE;SUDESTE;2025-01-06 02:00:00;37690.474
N;NORTE;2025-01-06 03:00:00;7383.233
NE;NORDESTE;2025-01-06 03:00:00;13603.22
S;SUL;2025-01-06 03:00:00;11243.31099999
SE;SUDESTE;2025-01-06 03:00:00;37073.697
N;NORTE;2025-01-06 04:00:00;7288.855
NE;NORDESTE;2025-01-06 04:00:00;13409.85599999
S;SUL;2025-01-06 04:00:00;11180.175
SE;SUDESTE;2025-01-06 04:00:00;37140.95599999
N;NORTE;2025-01-06 05:00:00;7226.039
NE;NORDESTE;2025-01-06 05:00:00;12854.108
S;SUL;2025-01-06 05:00:00;11456.615
SE;SUDESTE;2025-01-06 05:00:00;37553.10299999
N;NORTE;2025-01-06 06:00:00;7050.34299999
NE;NORDESTE;2025-01-06 06:00:00;12523.188
S;SUL;2025-01-06 06:00:00;12420.495
SE;SUDESTE;2025-01-06 06:00:00;39424.79699999
N;NORTE;2025-01-06 07:00:00;7040.343
NE;NORDESTE;2025-01-06 07:00:00;13244.71299999
S;SUL;2025-01-06 07:00:00;13815.12299999
SE;SUDESTE;2025-01-06 07:00:00;42418.624
N;NORTE;2025-01-06 08:00:00;7356.342
NE;NORDESTE;2025-01-06 08:00:00;14233.283
S;SUL;2025-01-06 08:00:00;14860.60799999
SE;SUDESTE;2025-01-06 08:00:00;45005.73699999
N;NORTE;2025-01-06 09:00:00;7577.088
NE;NORDESTE;2025-01-06 09:00:00;14670.98999999
